Key,Source,Context,Changes,English,French,German,Klingon,Spanish
barbedWireSheetDesc,blocks,Trap,EnChanged,"铁丝网由锻铁制造，可以让敌人减速，使其更加容易对付。使用右键来进行放置。",,"Stacheldraht aus Eisen kann Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere ihn mit der sekundären Aktion.",,
rScrapIronPlateMineDesc,blocks,Trap,EnChanged,一个用铁和火药制作的简易压力地雷。对付僵尸以及大多数敌人有不错的效果。,,"Eine primitive Druckplattenmine aus Eisen und Schießpulver. Gut, um die meisten Gegner zu verstümmeln oder töten.",,
hungry2Desc,buffs,Buff,EnChanged,你快饿死了，快找点东西吃！,Vous mourrez de faim.,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
hungry2Tooltip,buffs,Buff,EnChanged,你快饿死了，快找点东西吃！,Vous mourrez de faim.,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
painkillersBuffDesc,buffs,Buff,EnChanged,你使用了止痛药，晕眩缓和了很多。,,,,
thirsty2Desc,buffs,Buff,EnChanged,你脱水了，需要补充大量水分。,Vous avez très soif et devriez boire beaucoup.,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
thirsty2Tooltip,buffs,Buff,EnChanged,你脱水了，需要补充大量水分。,Vous avez très soif et devriez boire beaucoup.,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
blunderbussAmmoDesc,items,Ammo,EnChanged,短铳弹药可以通过纸张，火药和小石子制作。,,"Munition für die Donnerbüchse kann mit Papier, Schießpulver und kleinen Steinen gefertigt werden.",,
ironCrossbowBoltDesc,items,Ammo,EnChanged,铁十字弓矢，长按装弹按键以切换弹药。,,"Ein Eisenbolzen für Armbrüste. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",,
rocketDesc,items,Ammo,EnChanged,在火箭发射器上用作弹药的火箭，阅读过图纸后可以在熔炉和工作台进行制作。,,"Eine Rakete dient als Munition für Raketenwerfer und kann mittels Schmiede und Werkbank gefertigt werden, wenn du den Bauplan dafür gelesen hast.",,
pumpShotgunSchematicDesc,items,Book,EnChanged,"阅读这份图纸可以学会如何组装，修复和强化长管散弹枪。","Apprenez à assembler, réparer et perfectionner les fusils à pompe à long canon en lisant ce schéma.","In diesem Bauplan erfährst du, wie Schrotflinten zusammengesetzt, repariert und verbessert werden.",,"Lee el esquema para aprender a armar, reparar y mejorar escopetas de largo alcance."
animalHidePoncho,items,Clothes,EnChanged,兽皮披风,Poncho en peau de bête,Lederponcho,,Poncho de piel de animal
bandanaClothesGroupDesc,items,Clothes,EnChanged,手帕些微提供一些对伤害的防护作用。,"Les bandanas vous protègent lorsqu'il fait chaud et vous protègent également contre d'autres sortes de dégâts, comme n'importe quel accessoire vestimentaire.",Halstücher bieten etwas Schutz vor Schaden.,,"Las bandanas te mantienen fresco en climas calurosos y, al igual que toda la ropa, brindan un poco de protección contra otro tipo de daños."
hazmatShirt,items,Clothes,EnChanged,防护衬衫,Chemise de protection,Schutzanzugjacke,,Camisa de material peligroso
shadesDesc,items,Clothes,EnChanged,太阳镜可以让你看起来更帅气。,Les lunettes de soleil vous donnent l'air cool et vous protègent des rayons solaires.,Mit einer Sonnenbrille siehst du cool aus.,,"Con estas gafas te ves cool, además te mantienes fresco en climas calurosos. "
coffeeBeansDesc,items,Farming,EnChanged,咖啡豆可以在营火边上或是肥沃的土地上长成咖啡树。,,Braue Kaffee am Lagerfeuer oder verarbeite die Bohnen zu Kaffeesamen.,,
foodYuccaFruitDesc,items,Food,EnChanged,丝兰果是仙人掌上收获的可食用水果，富含果汁。,Les fruits de yucca se mangent et peuvent être cueillis sur les cactus.,Die Yucca-Frucht ist essbar und kann von Kakteen geerntet werden.,,La yuca es comestible y se puede recoger de los cactus.
moldyBreadDesc,items,Food,EnChanged,发霉的面包，可以用烧杯在化学站处制作抗生素。,,"Auf eigene Gefahr essen. Kann benutzt werden, um am Chemietisch Antibiotika zu fertigen.",,
blunderbussDesc,items,Gun,EnChanged,主要使用锻铁制成的原始短铳。有效距离相当近。,"Une arme primitive à chargement par la bouche peut être fabriquée à partir de tuyaux, de fer forgé, de bois et de ressorts. Efficace sur de très courtes distances.",Ein einfacher Vorderlader der hauptsächlich aus geschmiedetem Eisen gefertigt wird. Ist im Nahkampf sehr effektiv.,,"Se puede fabricar un arma de avancarga rudimentaria con tuberías, hierro forjado, madera y resortes. Eficaz a distancias muy cortas."
gunMP5Desc,items,Gun,EnChanged,这把冲锋枪使用10mm子弹。阅读过图纸后可以进行重组和修复。,Cette formidable mitraillette nécessite des munitions de calibre 9 mm. L'arme peut être réassemblée et réparée si vous lisez le schéma.,"Diese schallgedämpfte Maschinenpistole verwendet 9 mm Munition. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.",,Esta metralleta pateaculos utiliza munición de 9 mm. Se puede rearmar y reparar si lees el esquema.
animalHideDesc,items,Item,EnChanged,使用兽皮来制作皮革和衣服。,"Après avoir lu « Le livre du cuir », servez-vous de peaux de bête pour fabriquer des vêtements, des soufflets pour la forge et du cuir.",Tierhäute dienen dazu warme Kleidung und Leder herzustellen.,,"Una vez que hayas leído el libro del cuero, podrás usar la piel de animal para hacer ropa, fabricar fuelles para la fragua y cuero."
bellowsDesc,items,Item,EnChanged,"风箱由木头、兽皮和管子组成，是熔炉不可缺少的一部分。","Un soufflet est fait de bois, de peau de bête et de tuyaux. Il sert à construire une forge.","Blasebälge bestehen aus Holz, Leder und Röhren, und sind notwendig, um eine Schmiede zu bauen.",,"Se necesitan fuelles de madera, piel de animal y tuberías para construir una fragua."
oilShaleDesc,items,Item,EnChanged,油页岩可以在沙漠中找到，可以在营火的烧杯中或是化学站制成燃料。,,Ölschiefer kann in der Wüste gefunden werden und am Chemietisch zu Benzin verarbeitet werden.,,
springDesc,items,Item,EnChanged,"弹簧是制造家具、保险库门、舱门等的绝佳材料。",,"Schraubenfedern eignen sich prima dazu, Möbel, Tresortüren, Klappen und mehr zu fertigen.",,
yuccaFibersDesc,items,Item,EnChanged,植物纤维是在草地和小植株弄到的一般资源，可以用于制作包括衣服在内的许多东西。,"Les fibres végétales sont une ressource commune obtenue en détruisant de l'herbe et de petites plantes. Elles peuvent servir à fabriquer de nombreuses choses, y compris des vêtements.",Pflanzenfasern bekommt man von Gras und kleineren Pflanzen. Sie haben viele Verwendungszwecke. Mit der sekundären Aktion kann Gras gepflanzt werden.,,"La fibra vegetal es un recurso común que se adquiere al destruir hierba y pequeñas plantas. Se puede usar para fabricar diversos objetos, como ropa."
painkillersDesc,items,Medical,EnChanged,止痛药能够让你缓慢回复生命并且从晕眩中解脱出来，不过像其他药一样，它会令你口渴。,Vous avez pris des antidouleurs.,Du hast Schmerzmittel genommen.,,Tomaste analgésicos.
partsAuger_bladeDesc,items,Part,EnChanged,螺旋钻的零件。如果你的科学技能足够高的话，你可以在工作台对其进行改造和升级。,,Ein Teil eines Erdbohrers. Wenn du in Wissenschaft gut bist dann kannst du ihn auf einer Werkbank neu fertigen und verbessern.,,
partsChainsaw_bladeDesc,items,Part,EnChanged,电锯的零件。如果你的科学技能足够高的话，你可以在工作台对其进行改造和升级。,,Ein Teil einer Kettensäge. Wenn du in Wissenschaft gut bist dann kannst du es auf einer Werkbank neu fertigen und verbessern.,,
concreteMixingDesc,progression,Perk,EnChanged,解锁该能力以制作混凝土，不过你还需要水泥搅拌机。,Déverrouille la possibilité de fabriquer du béton et la bétonnière.,Schaltet die Fertigung von Zement frei. Um Beton herzustellen benötigst du zusätzlich einen Zementmischer.,,Desbloquea la habilidad de crear hormigón y el mezclador de cemento.
deadShotDesc,progression,Perk,EnChanged,射杀它们的时候要有自己的风格！每升一级都会增加手枪爆头或是打断四肢的概率。,Tuez-les avec classe ! Améliorez vos chances d'exploser des têtes et des membres avec votre pistolet au fil des rangs.,Erschieße sie mit Stil mit Pistolen und Revolvern! Jeder Rang erhöht die Chance Köpfe und Gliedmaßen abzuschießen.,,¡Mátalos con estilo! Aumenta las posibilidades de que el revólver haga que los sesos y las extremidades de los enemigos salgan volando con nada nivel.
theOutlawDesc,progression,Perk,EnChanged,你破坏了逻辑规律，接下来每升一级，你的手枪都能制造更多伤害。,La logique n'a plus d'effet sur vous. Votre pistolet inflige de plus en plus de dégâts au fil des rangs.,Du hast die Gesetze der Logik gebrochen. Pistolen und Revolver verursachen mit jedem Rang mehr Schaden.,,Has quebrantado las leyes de la lógica. El revólver inflige más daño con cada nivel.
44MagnumRoundCraftingDesc,progression,Skill,EnChanged,学习在工作台制作.44马格南子弹。,Apprenez à fabriquer des cartouches de .44 magnum.,"Lerne, wie .44 Magnum Patronen gefertigt werden.",,Aprende a fabricar balas para Magnum 44.
762mmRoundCraftingDesc,progression,Skill,EnChanged,学习在工作台制作7.62mm子弹。,"Apprenez à fabriquer des cartouches de calibre 7,62 mm.","Lerne, wie 7,62 mm Patronen gefertigt werden.",,"Aprende a fabricar balas de 7,62 mm."
9mmRoundCraftingDesc,progression,Skill,EnChanged,学习在工作台制作9mm子弹。,Apprenez à fabriquer des cartouches de calibre 9 mm.,"Lerne, wie 9 mm Patronen gefertigt werden.",,Aprende a fabricar balas de 9mm.
clothingArmor,progression,Skill,EnChanged,服装/护甲,Armure lourde,Kleidung / Rüstung,,Armadura pesadas
clothingArmorDesc,progression,Skill,EnChanged,服装和护甲可减少受到的伤害。在装备该组物品时，所受伤害皆可成为获得技能的来源。,,"Erleide weniger Schaden, während du Kleidung oder Rüstung trägst. Erhalte diese Fertigkeit, indem du Schaden erleidest, während du Gegenstände aus dieser Kategorie trägst.",,
healthNutDesc,progression,Skill,EnChanged,每级提升最低和最高健康。,Augmente votre bien-être minimal et maximal de 10 points par rang.,Erhöhe den Mindest- und Maximalwert für dein Wohlbefinden mit jedem Rang dieser Eigenschaft.,,Aumenta 10 puntos de tu bienestar máximo y mínimo por nivel.
miner69erDesc,progression,Skill,EnChanged,每升一级，采矿工具对方块的伤害提升20%，并且精力消耗减少10%。,Infligez 20 % de dégâts de bloc avec les outils miniers et consommez 10 % d'endurance en moins par coup par rang.,Erhöhe den Blockschaden und die erbeuteten Resourcen mit Bergbauwerkzeugen und verbrauche weniger Ausdauer pro Schlag.,,"Inflige 20 % más de daño en bloque con herramientas de minería. Además, cada golpe consume un 10 % menos de resistencia por nivel."
shotgunShellCraftingDesc,progression,Skill,EnChanged,学习在工作台制作散弹枪弹片。,Apprenez à fabriquer des cartouches de fusil à pompe.,"Lerne, wie Flintenmunition gefertigt wird.",,Aprende a fabricar cartuchos de escopeta.
runForestRun,progression,Skill,EnChanged FrChanged,奔跑技能,"Cours Forrest, cours","Lauf Forrest, lauf!",,"Corre, Forrest, corre"
goDifficulty2,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,探险家,Aventurier,Abenteurer,,Aventurero
goDifficulty3,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,游牧人（默认）,Nomade (par défaut),Nomade (Standard),,Nómada (predeterminado)
woodenBowDesc,items,Gun,EnChanged GrChanged,"一把木弓，打猎和杀死僵尸的好工具，使用弓箭作为弹药。按住装弹来更换弹药。",Un arc en bois. Idéal pour la chasse et pour tuer des zombies. Requiert des flèches comme munitions. Maintenez le bouton de rechargement enfoncé pour utiliser un autre type de munition.,"Gut für die Jagd und um Zombies zu töten. Verwendet Pfeile mit Stein-, Eisen- oder Stahlspitzen. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",,Un arco de madera. Ideal para cazar y matar zombis. Usa flechas como munición. Mantén presionado recargar para usar munición alternativa.
cementDesc,items,Item,EnChanged GrChanged,水泥可以用于制作混凝土，不过需要点亮制作混凝土的技能点并且拥有水泥搅拌机。,"Après avoir acheté l'avantage du béton, le ciment sert à fabriquer de la dalle et du béton.",Zement wird benutzt um Betonmischung zu fertigen. Daür brauchst du auch die Fertigkeit „Beton“ und einen Zementmischer.,,Se puede usar el cemento para fabricar baldosas. También puedes producir hormigón una vez que hayas comprado el beneficio de hormigón.
rock01,blocks,Block,EnChanged GrChanged KgNone,小石头01,Petite pierre,Kleiner Stein 01,,Piedra pequeña
rock02,blocks,Block,EnChanged GrChanged KgNone,小石头02,Petite pierre,Kleiner Stein 02,,Piedra pequeña
rock03,blocks,Block,EnChanged GrChanged KgNone,小石头03,Petite pierre,Kleiner Stein 03,,Piedra pequeña
rock04,blocks,Block,EnChanged GrChanged KgNone,小石头04,Petite pierre,Kleiner Stein 04,,Piedra pequeña
rock05,blocks,Block,EnChanged GrChanged KgNone,小石头05,Petite pierre,Kleiner Stein 05,,Piedra pequeña
rock06,blocks,Block,EnChanged GrChanged KgNone,小石头06,Petite pierre,Kleiner Stein 06,,Piedra pequeña
rock07,blocks,Block,EnChanged GrChanged KgNone,小石头07,Petite pierre,Kleiner Stein 07,,Piedra pequeña
rock08,blocks,Block,EnChanged GrChanged KgNone,小石头08,Petite pierre,Kleiner Stein 08,,Piedra pequeña
rock09,blocks,Block,EnChanged GrChanged KgNone,小石头09,Petite pierre,Kleiner Stein 09,,Piedra pequeña
rock10,blocks,Block,EnChanged GrChanged KgNone,小石头10,Petite pierre,Kleiner Stein 10,,Piedra pequeña
rock11,blocks,Block,EnChanged GrChanged KgNone,小石头11,Petite pierre,Kleiner Stein 11,,Piedra pequeña
rock12,blocks,Block,EnChanged GrChanged KgNone,小石头12,Petite pierre,Kleiner Stein 12,,Piedra pequeña
craftSkillArmor,progression,Skill,EnChanged KeyChanged,制造护甲,Forgeron d'armures,Rüstungsschmied,,Forjar armaduras
craftSkillArmorDesc,progression,Skill,EnChanged KeyChanged,"制造护甲和服装的速度加快且质量更高，修理速度加快。购买技能点的等级，逐渐从入门升到新手、学徒、熟练工、专业人员和大师等级。",,"Fertige Rüstungen und Kleidung schneller und von besserer Qualität und repariere sie zugleich effizienter. Kaufe die Fertigkeit um die Qualität von Krud auf Einfach, Lehrling, Geselle, Professionell und Meister zu verbessern.",,
candleTable,blocks,Block,EnChanged KgNone,蜡烛桌子(POI),Bougie,Kerze Freistehend (POI),,Vela
candleWall,blocks,Block,EnChanged KgNone,蜡烛墙(POI),Bougie,Kerze mit Wandhalterung (POI),,Vela
candleTablePlayer,blocks,Block,New,蜡烛桌,Bougie,Kerze Freistehend,,Vela
candleWallPlayer,blocks,Block,New,蜡烛墙,Bougie,Kerze mit Wandhalterung,,Vela
treeAzalea,blocks,Block,EnChanged KgNone,木头,Bois,Holz,,Madera
wallTorch,blocks,Block,EnChanged KgNone,壁式火把(POI),Torche,Fackel mit Wandhalterung (POI),,Antorcha
wallTorchPlayer,blocks,Block,New,壁式火把,Torche,Fackel mit Wandhalterung,,Antorcha
woodStairsBoard,blocks,Block,EnChanged KgNone,木板楼梯,Marches d'escaliers en bois,Holzstufen – Brett,,Tabla de escaleras de madera
mushroom01,blocks,Farming,EnChanged,蘑菇(POI),Champignons 01,Pilze 01 (POI),,Setas 01
mushroom02,blocks,Farming,EnChanged,蘑菇(POI),Champignons 02,Pilze 02 (POI),,Setas 02
plantedBlueberry3Harvest,blocks,Farming,EnChanged KgNone,蓝莓植株（可收获的）,Myrtilles 3 récoltables,Gepflanzte Heidelbeere 3 – Ernte,,Sembrado Mora 3 Cosecha
signShopColdBeer,blocks,Sign,EnChanged KgNone,老头啤酒标记(C),Panneau bière fraîche,Bierladenschild,,Letrero de tienda Cerveza fría
woodLogSpike1Desc,blocks,Trap,EnChanged KgNone,"木尖刺陷阱可以让大多数敌人受到伤害、变成跛子甚至杀死它们。使用右键来设置。(可升级)","Les pièges avec des piques en rondin de bois peuvent infliger des dégâts aux ennemis, voire les handicaper ou les tuer. Ils durent plus longtemps que les pièges avec des piques. Placez-les à l'aide de l'action secondaire. (Améliorable)","Fallen mit spitzen Stämmen können Gegnern schaden, sie lähmen und sogar töten. Sie halten länger als Stachelfallen. Platziere sie mit der sekundären Aktion. (Aufwertbar)",,"Las trampas de pinchos de troncos de madera pueden dañar, lisiar e incluso matar a enemigos, y duran más que las trampas de pinchos. Usa la acción secundaria para colocarlas. (Se pueden mejorar)."
alcoholPoisoningDesc,buffs,Buff,EnChanged KgNone,你酒精中毒了。你也许需要一段时间，现在根本缓不过来。,"Vous êtes en état d'ébriété. Les effets ont une durée limitée, mais vous ne la connaissez pas.","Du hast eine Alkoholvergiftung. Dies hält vielleicht eine gewisse Zeit an, aber du kannst nicht rauskriegen, wie lange.",,"Tienes una congestión alcohólica. Puede que solo sea durante un rato, pero no sabes cuánto durará."
beerBuzz,buffs,Buff,EnChanged KgNone,醉酒,Boost à la bière,Bierrausch,,Cerveza Buzz
ballCap,items,Clothes,EnChanged KgNone,白色棒球帽,Casquette de baseball,Baseballmütze,,Gorra de béisbol
blueberrySeed,items,Farming,EnChanged KgNone,蓝莓种子,Graines de myrtille,Heidelbeersamen,,Semillas de mora
potatoSeed,items,Farming,EnChanged KgNone,马铃薯种子,Graines de pomme de terre,Saatkartoffel,,Semillas de papa
treePlantedMaple1mDesc,items,Farming,EnChanged KgNone,把种子埋进泥土中，等待种子长成一棵大树。虽然它们在沙漠中也能存活，但最好种在更加肥沃的土壤中。,Plantez ces graines dans la terre pour faire pousser un arbre.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",,Planta estas semillas en la tierra para que crezca un árbol.
treePlantedMountainPine1mDesc,items,Farming,EnChanged KgNone,把种子埋进泥土中，等待种子长成一棵大树。虽然它们在沙漠中也能存活，但最好种在更加肥沃的土壤中。,Plantez ces graines dans la terre pour faire pousser un arbre.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",,Planta estas semillas en la tierra para que crezca un árbol.
treePlantedWinterPine1mDesc,items,Farming,EnChanged KgNone,把种子埋进泥土中，等待种子长成一棵大树。虽然它们在沙漠中也能存活，但最好种在更加肥沃的土壤中。,Plantez ces graines dans la terre pour faire pousser un arbre.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",,Planta estas semillas en la tierra para que crezca un árbol.
beerDesc,items,Food,EnChanged KgNone,"喝了一瓶美味的自酿啤酒之后，你就能获得耐力和勇气，还能够免疫晕眩，就像以前爷爷做的酒一样。","Boire une bouteille de cette délicieuse bière artisanale vous offre de l'endurance, une dose de bravoure et une haute opinion de vous-même. Exactement comme celle que faisait papy.","Erhalte Ausdauer, Wagemut und ein großes Ego. All das in nur einer Flasche dieses leckeren selbst gebrauten Biers. Das gleiche Bier, das Opa früher immer braute.",,"Aumenta tu resistencia, valentía y tu gran ego con una simple botella de esta deliciosa cerveza casera. Tal y como el abuelo solía hacerla."
ironFragment,items,Item,EnChanged KgNone,铁矿,Éclats de fer,Eisenbruchstücke,,Trozos de hierro
ironFragmentDesc,items,Item,EnChanged KgNone,铁矿石需要在熔炉中熔炼，也可以直接分解。,Objet essentiel pour forger. Il peut aussi servir à fabriquer des munitions de tromblon.,"Einer der wichtigsten Schmiedegegenstände, mit dem auch Munition für die Donnerbüchse gefertigt werden kann.",,Un objeto de forja básico que se puede usar también para fabricar munición para trabucos.
leatherDesc,items,Item,EnChanged KgNone,"皮革可以用于制作衣服、十字弓等各式各样的东西。","Après avoir lu « Le livre du cuir », le cuir peut servir à fabriquer un tas de choses, comme des vêtements et des arbalètes.","Mit Leder kann eine Reihe von Sachen hergestellt werden, darunter Kleidung, Armbrüste und Blasebälge für die Schmiede.",,"El cuero se puede usar para fabricar varios objetos, como ropa o ballestas, una vez que has leído el libro del Cuero."
rottingFleshDesc,items,Item,EnChanged KgNone,你可以吃烂肉，但也许把它丢到水泥搅拌机里才是更好的选择。,"Vous pouvez en manger, mais vous pouvez le regretter.","Du kannst es essen, solltest es aber wohl lassen.",,"Puedes comerla, pero probablemente no deberías."
painkillers,items,Medical,EnChanged KgNone,止痛药,Antidouleurs,Schmerzmittel,,Analgésicos
pickupCrops,UI,HUD,EnChanged KgNone,按<{{0}}>拾起：{0} {1},Appuyer sur <{{0}}> pour ramasser {0} {1},"<{{0}}> drücken, um {0} {1} aufzuheben",,Presiona <{{0}}> para recoger {0} {1}.
pickupPrompt,UI,HUD,EnChanged KgNone,按<{{0}}>拾起：{0},Appuyer sur <{{0}}> pour ramasser {0},"<{{0}}> drücken, um {0} aufzuheben",,Presiona <{{0}}> para recoger {0}.
friendInviteAccepted,UI,Menu,EnChanged KgNone,收到来自 {0} 的请求。,Vous avez accepté la demande d'allié de {0}.,Verbündeteschaftsanfrage von {0} angenommen.,,Aceptaste la solicitud de aliado de {0}.
friendInviteAccepted2,UI,Menu,EnChanged KgNone,{0} 接受请求,{0} a accepté votre demande d'allié.,{0} hat deine Verbündeteschaftsanfrage angenommen.,,{0} aceptó tu solicitud de aliado.
friendInviteDeclined,UI,Menu,EnChanged KgNone,拒绝邀请 {0}。,Vous avez refusé la demande d'allié de {0}.,Verbündeteschaftsanfrage von {0} abgelehnt.,,Rechazaste la invitación de aliado de {0}.
friendInviteDeclined2,UI,Menu,EnChanged KgNone,{0} 拒绝请求,{0} a refusé votre demande d'allié.,{0} hat deine Verbündeteschaftsanfrage abgelehnt.,,{0} rechazó tu solicitud de aliado.
friendInviteReceived,UI,Menu,EnChanged KgNone,受到邀请来自 {0}。,Vous avez reçu une demande d'allié de {0}.,Verbündeteschaftsanfrage von {0} erhalten.,,Recibiste una solicitud de aliado de {0}.
friendRemoved,UI,Menu,EnChanged KgNone,{0} 已从好友列表清除,Vous avez retiré {0} de votre liste d'alliés.,{0} wurde aus deiner Verbündete entfernt.,,Se eliminó a {0} de tu lista de aliados.
friendRemoved2,UI,Menu,EnChanged KgNone,{0} 把你从他的好友列表清除,{0} vous a retiré(e) de sa liste d'alliés.,Du wurdest aus der Verbündete von {0} entfernt.,,{0} te eliminó de su lista de aliados.
friendSentInvite,UI,Menu,EnChanged KgNone,好友邀请已发给 {0}。,Vous avez envoyé une demande d'allié à {0}.,Verbündeteschaftsanfrage an {0} geschickt.,,Invitación de aliado enviada a {0}.
goDayLengthDesc,UI,Menu,EnChanged KgNone,游戏中度过 24小时需要多少现实时间。,Durée réelle d'un cycle de 24 heures dans le jeu.,"Bestimmt, wie lange es in Echtzeit dauert, bis 24 Stunden im Spiel vergehen.",,Cuánto tardan en pasar las 24 horas en el juego en minutos reales.
lblCategoryScavenging,UI,Tooltip,EnChanged KgNone,扫荡/交易技能,Glanage,Plünderung,,Carroñar
itemTooltipFocusedOne,UI,Use Prompt,EnChanged KgNone,<{0}>收集{1},<{0}> pour récupérer {1},<{0}> Sammle {1},,<{0}> Recoge {1}
itemTooltipFocusedSeveral,UI,Use Prompt,EnChanged KgNone,<{0}>收集{2}个{1},<{0}> pour récupérer {1} sur {2},<{0}> Sammle {2} von: {1},,<{0}> Recoge {2} de {1}
cannotBreatheTooltip,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
freshAirDesc,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
freshAirTooltip,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
InstantSickDrunk,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
chainLink,blocks,Block,GrChanged,链锁,Grillage,Maschendrahtzaun,,Eslabón
chainLinkCornerBottom,blocks,Block,GrChanged,底部拐角链锁,Angle inférieur de grillage,Maschendrahtzaun – Untere Ecke,,Eslabón inferior de esquina
chainLinkCornerTop,blocks,Block,GrChanged,顶部拐角链锁,Angle supérieur de grillage,Maschendrahtzaun – Obere Ecke,,Eslabón superior de esquina
chainLinkFenceBottomPole,blocks,Block,GrChanged,底部链锁栅栏,Pied de poteau de grillage,Maschendrahtzaun – Unterer Zaunpfahl,,Poste de eslabón inferior de valla
chainLinkFenceTop,blocks,Block,GrChanged,顶部链锁栅栏,Sommet de grillage,Maschendrahtzaun – Oberer Zaun,,Eslabón superior de valla
chainLinkFenceTopPole,blocks,Block,GrChanged,顶部链锁栅栏杆,Sommet de poteau de grillage,Maschendrahtzaun – Oberer Zaunpfosten,,Poste de eslabón superior de valla
chainLinkFenceTopPole2,blocks,Block,GrChanged,顶部链锁栅栏杆2,Sommet de poteau de grillage 2,Maschendrahtzaun – Oberer Zaunpfosten 2,,Poste de eslabón superior de valla 2
chainLinkPole,blocks,Block,GrChanged,链锁杆,Poteau de grillage,Maschendrahtzaun – Pfosten,,Poste de eslabón
corrugatedMetalCTRPlate,blocks,Block,GrChanged,金属纹中心板,Plaque de tôle centrale,Wellblechplatte – Mittig,,Placa central de metal corrugado
ductSoft,blocks,Block,GrChanged,软导管,Conduit souple,Luftschacht,,Conducto flexible
ductSoftCorner,blocks,Block,GrChanged,边角软导管,Angle de conduit souple,Luftschacht – Ecke,,Esquina de conducto flexible
ductSoftCorner2,blocks,Block,GrChanged,边角软导管2,Angle de conduit souple 2,Luftschacht – Ecke 2,,Esquina 2 de conducto flexible
